0, 0, 993, 311, -0.7641804814338684
0, 1, 1020, 269, -0.7299331426620483
0, 2, 1034, 269, -0.7302935123443604
0, 3, 1052, 270, -0.7305042147636414
0, 4, 965, 266, -0.735276460647583
0, 5, 942, 266, -0.7352510094642639
0, 6, 923, 266, -0.7358315587043762
0, 7, 1073, 291, -0.447687566280365
0, 8, 890, 290, -0.46462899446487427
0, 9, 1023, 362, -0.6535810828208923
0, 10, 953, 366, -0.6584416031837463
0, 11, 1222, 568, -0.23757444322109222
0, 12, 741, 562, -0.2699931263923645
0, 13, 1292, 944, -0.1351713240146637
0, 14, 662, 920, -0.1897413432598114
0, 15, 1313, 1236, -0.4130597412586212
0, 16, 632, 1209, -0.4771946966648102
0, 17, 1341, 1335, -0.49258023500442505
0, 18, 618, 1301, -0.5624684691429138
0, 19, 1320, 1327, -0.5631995797157288
0, 20, 645, 1279, -0.6461021304130554
0, 21, 1290, 1292, -0.45231592655181885
0, 22, 666, 1246, -0.5186338424682617
0, 23, 1142, 1270, -0.032592952251434326
0, 24, 816, 1265, 0.034089501947164536
0, 25, 1127, 1790, 0.11331575363874435
0, 26, 811, 1776, 0.13277247548103333
0, 27, 1119, 2245, 0.6042096018791199
0, 28, 807, 2239, 0.5446582436561584
0, 29, 1119, 2313, 0.6319992542266846
0, 30, 804, 2311, 0.5754134654998779
0, 31, 1077, 2401, 0.27411243319511414
0, 32, 838, 2385, 0.18663302063941956
1, 0, 996, 309, -0.8029034733772278
1, 1, 1021, 267, -0.7686775326728821
1, 2, 1035, 267, -0.7689164876937866
1, 3, 1053, 268, -0.7690918445587158
1, 4, 966, 266, -0.7772947549819946
1, 5, 945, 266, -0.7773456573486328
1, 6, 926, 266, -0.7778883576393127
1, 7, 1075, 291, -0.48704639077186584
1, 8, 891, 290, -0.5209372043609619
1, 9, 1026, 359, -0.6926437616348267
1, 10, 956, 362, -0.702366828918457
1, 11, 1222, 568, -0.26362180709838867
1, 12, 742, 562, -0.3313736617565155
1, 13, 1293, 942, -0.1417473405599594
1, 14, 660, 919, -0.25194236636161804
1, 15, 1317, 1237, -0.3993014395236969
1, 16, 640, 1209, -0.4997541308403015
1, 17, 1345, 1336, -0.4669695198535919
1, 18, 634, 1299, -0.5760175585746765
1, 19, 1324, 1334, -0.537262499332428
1, 20, 663, 1278, -0.6519603133201599
1, 21, 1295, 1298, -0.43704938888549805
1, 22, 679, 1245, -0.5352616906166077
1, 23, 1142, 1267, -0.026331814005970955
1, 24, 818, 1263, 0.027600495144724846
1, 25, 1125, 1790, 0.08888562768697739
1, 26, 809, 1776, 0.08564566820859909
1, 27, 1117, 2246, 0.5556942820549011
1, 28, 803, 2248, 0.452867716550827
1, 29, 1117, 2313, 0.5819923281669617
1, 30, 800, 2319, 0.4780550003051758
1, 31, 1074, 2405, 0.23519866168498993
1, 32, 834, 2393, 0.09286753833293915
2, 0, 996, 308, -0.8124136328697205
2, 1, 1021, 266, -0.7785082459449768
2, 2, 1035, 267, -0.7787392139434814
2, 3, 1053, 268, -0.7789139151573181
2, 4, 967, 265, -0.7867979407310486
2, 5, 945, 265, -0.7868679165840149
2, 6, 927, 266, -0.7874051332473755
2, 7, 1076, 292, -0.4971061050891876
2, 8, 891, 290, -0.5287408232688904
2, 9, 1026, 358, -0.7023403644561768
2, 10, 956, 360, -0.7114774584770203
2, 11, 1222, 567, -0.27217525243759155
2, 12, 742, 563, -0.33874040842056274
2, 13, 1293, 941, -0.14725808799266815
2, 14, 659, 919, -0.2560974657535553
2, 15, 1318, 1240, -0.39983031153678894
2, 16, 646, 1209, -0.5069208741188049
2, 17, 1345, 1340, -0.4679996371269226
2, 18, 644, 1299, -0.582244336605072
2, 19, 1324, 1340, -0.5381836295127869
2, 20, 673, 1278, -0.6562808752059937
2, 21, 1296, 1304, -0.43750953674316406
2, 22, 688, 1245, -0.5414830446243286
2, 23, 1142, 1266, -0.02492917701601982
2, 24, 819, 1262, 0.02611953765153885
2, 25, 1125, 1790, 0.0764368325471878
2, 26, 808, 1778, 0.08063142001628876
2, 27, 1116, 2248, 0.5472590923309326
2, 28, 800, 2255, 0.45167821645736694
2, 29, 1116, 2314, 0.5739588141441345
2, 30, 798, 2326, 0.4774262309074402
2, 31, 1071, 2408, 0.2263331115245819
2, 32, 830, 2401, 0.08943533152341843
3, 0, 996, 306, -0.8036213517189026
3, 1, 1021, 264, -0.7697370052337646
3, 2, 1035, 266, -0.7699985504150391
3, 3, 1053, 267, -0.7701829075813293
3, 4, 966, 264, -0.7770870923995972
3, 5, 945, 264, -0.7771326303482056
3, 6, 927, 265, -0.777679443359375
3, 7, 1076, 291, -0.4893927574157715
3, 8, 891, 290, -0.5159574151039124
3, 9, 1026, 357, -0.6937574148178101
3, 10, 955, 358, -0.7015267014503479
3, 11, 1222, 567, -0.2682885229587555
3, 12, 742, 564, -0.32483425736427307
3, 13, 1294, 941, -0.14751765131950378
3, 14, 659, 919, -0.24187283217906952
3, 15, 1318, 1241, -0.4004175364971161
3, 16, 646, 1211, -0.4966689646244049
3, 17, 1345, 1341, -0.46956565976142883
3, 18, 645, 1300, -0.568812906742096
3, 19, 1324, 1342, -0.5397737622261047
3, 20, 675, 1280, -0.6412237286567688
3, 21, 1296, 1305, -0.438141405582428
3, 22, 690, 1246, -0.5290477275848389
3, 23, 1142, 1265, -0.02501814439892769
3, 24, 819, 1261, 0.026222167536616325
3, 25, 1124, 1790, 0.06294325739145279
3, 26, 807, 1779, 0.07323357462882996
3, 27, 1115, 2251, 0.5270857214927673
3, 28, 798, 2260, 0.43607625365257263
3, 29, 1115, 2317, 0.5530213117599487
3, 30, 796, 2332, 0.46077820658683777
3, 31, 1069, 2413, 0.20404210686683655
3, 32, 828, 2406, 0.07127692550420761
4, 0, 995, 306, -0.7992119193077087
4, 1, 1021, 264, -0.7655355334281921
4, 2, 1035, 265, -0.7658042311668396
4, 3, 1053, 266, -0.7659918665885925
4, 4, 966, 264, -0.7725862860679626
4, 5, 945, 264, -0.7726253271102905
4, 6, 927, 265, -0.7731732726097107
4, 7, 1076, 291, -0.48665520548820496
4, 8, 891, 289, -0.5118309855461121
4, 9, 1026, 356, -0.6896077394485474
4, 10, 955, 357, -0.6969127655029297
4, 11, 1222, 567, -0.2673455774784088
4, 12, 742, 565, -0.3238784670829773
4, 13, 1295, 941, -0.14771021902561188
4, 14, 658, 919, -0.23885996639728546
4, 15, 1319, 1241, -0.3993695080280304
4, 16, 646, 1212, -0.49527502059936523
4, 17, 1345, 1341, -0.46781715750694275
4, 18, 646, 1300, -0.5686740875244141
4, 19, 1324, 1342, -0.5373403429985046
4, 20, 675, 1280, -0.6411160826683044
4, 21, 1296, 1306, -0.4367036819458008
4, 22, 690, 1246, -0.528866708278656
4, 23, 1142, 1264, -0.02493199147284031
4, 24, 824, 1249, 0.026131706312298775
4, 25, 1124, 1790, 0.06809130311012268
4, 26, 807, 1780, 0.08025806397199631
4, 27, 1114, 2252, 0.5408390760421753
4, 28, 798, 2262, 0.45421168208122253
4, 29, 1115, 2318, 0.5678064227104187
4, 30, 796, 2334, 0.48060673475265503
4, 31, 1069, 2415, 0.21828539669513702
4, 32, 828, 2409, 0.09237584471702576
5, 0, 995, 306, -0.796671450138092
5, 1, 1021, 264, -0.7630525231361389
5, 2, 1035, 265, -0.7633219361305237
5, 3, 1052, 266, -0.7635095119476318
5, 4, 966, 264, -0.7700250744819641
5, 5, 945, 264, -0.7700656652450562
5, 6, 927, 265, -0.7706116437911987
5, 7, 1076, 291, -0.485027939081192
5, 8, 891, 289, -0.5105065703392029
5, 9, 1026, 356, -0.6872604489326477
5, 10, 955, 357, -0.6944745779037476
5, 11, 1222, 567, -0.2673221528530121
5, 12, 742, 566, -0.32577118277549744
5, 13, 1295, 940, -0.1479651778936386
5, 14, 658, 920, -0.23707428574562073
5, 15, 1319, 1242, -0.3978087604045868
5, 16, 649, 1214, -0.49303504824638367
5, 17, 1346, 1343, -0.46545669436454773
5, 18, 650, 1301, -0.5647016167640686
5, 19, 1324, 1344, -0.5344188213348389
5, 20, 681, 1281, -0.6356239318847656
5, 21, 1296, 1308, -0.43473055958747864
5, 22, 696, 1247, -0.5249014496803284
5, 23, 1142, 1264, -0.024801598861813545
5, 24, 829, 1238, 0.025996068492531776
5, 25, 1124, 1791, 0.06710377335548401
5, 26, 806, 1785, 0.07896135002374649
5, 27, 1114, 2256, 0.5450802445411682
5, 28, 795, 2268, 0.4530796706676483
5, 29, 1115, 2321, 0.5727576613426208
5, 30, 794, 2339, 0.47962990403175354
5, 31, 1067, 2421, 0.22446617484092712
5, 32, 826, 2416, 0.09098639339208603
6, 0, 994, 306, -0.7951111197471619
6, 1, 1021, 264, -0.7615320086479187
6, 2, 1035, 265, -0.76180100440979
6, 3, 1052, 266, -0.7619876265525818
6, 4, 966, 264, -0.7685282826423645
6, 5, 945, 264, -0.7685748338699341
6, 6, 927, 265, -0.769119143486023
6, 7, 1076, 291, -0.4834994375705719
6, 8, 891, 289, -0.5097709894180298
6, 9, 1026, 356, -0.685800313949585
6, 10, 954, 357, -0.6930666565895081
6, 11, 1223, 566, -0.2658926546573639
6, 12, 742, 567, -0.327523797750473
6, 13, 1296, 940, -0.14483919739723206
6, 14, 658, 920, -0.23961377143859863
6, 15, 1320, 1241, -0.390428364276886
6, 16, 652, 1215, -0.49287888407707214
