0, 0, 303, 92, -0.9675953984260559
0, 1, 317, 62, -0.8901511430740356
0, 2, 327, 61, -0.8902657628059387
0, 3, 336, 61, -0.8905747532844543
0, 4, 282, 62, -0.9325663447380066
0, 5, 266, 62, -0.932264506816864
0, 6, 250, 63, -0.9327448606491089
0, 7, 344, 68, -0.4014401435852051
0, 8, 219, 76, -0.5842599272727966
0, 9, 322, 127, -0.780271053314209
0, 10, 277, 130, -0.831159770488739
0, 11, 408, 260, -0.023939521983265877
0, 12, 125, 280, -0.4938352704048157
0, 13, 421, 451, 0.17296263575553894
0, 14, 57, 475, -0.5274421572685242
0, 15, 439, 641, -0.14975397288799286
0, 16, 100, 663, -0.9316080212593079
0, 17, 456, 692, -0.22891616821289062
0, 18, 101, 718, -1.06145441532135
0, 19, 446, 690, -0.3285818099975586
0, 20, 130, 708, -1.124512791633606
0, 21, 432, 672, -0.20992298424243927
0, 22, 134, 687, -0.9664468765258789
0, 23, 368, 692, 0.09425072371959686
0, 24, 181, 701, -0.09055959433317184
0, 25, 364, 1034, 0.12987345457077026
0, 26, 191, 1046, -0.0757129117846489
0, 27, 370, 1339, 0.7626381516456604
0, 28, 205, 1352, 0.3249211609363556
0, 29, 367, 1387, 0.7895866632461548
0, 30, 188, 1400, 0.34347906708717346
0, 31, 384, 1425, 0.2303096503019333
0, 32, 270, 1437, -0.33806172013282776
1, 0, 303, 93, -1.156250238418579
1, 1, 317, 62, -1.0789834260940552
1, 2, 327, 62, -1.0791901350021362
1, 3, 337, 62, -1.0792953968048096
1, 4, 282, 61, -1.1202847957611084
1, 5, 266, 62, -1.1202514171600342
1, 6, 250, 63, -1.1207422018051147
1, 7, 346, 71, -0.5747400522232056
1, 8, 219, 76, -0.7567550539970398
1, 9, 321, 128, -0.9637705087661743
1, 10, 277, 130, -1.0141955614089966
1, 11, 408, 260, -0.14795750379562378
1, 12, 126, 281, -0.6108630895614624
1, 13, 422, 450, 0.07683797180652618
1, 14, 59, 476, -0.6028556823730469
1, 15, 442, 641, -0.3001277446746826
1, 16, 101, 663, -1.0116240978240967
1, 17, 462, 690, -0.3914240598678589
1, 18, 103, 721, -1.1422652006149292
1, 19, 455, 688, -0.504632294178009
1, 20, 132, 710, -1.2095779180526733
1, 21, 437, 672, -0.36683279275894165
1, 22, 135, 689, -1.047555923461914
1, 23, 370, 689, 0.0916660949587822
1, 24, 183, 699, -0.08813116699457169
1, 25, 363, 1031, 0.19352756440639496
1, 26, 190, 1043, -0.01585380733013153
1, 27, 370, 1331, 0.9001167416572571
1, 28, 204, 1343, 0.47328123450279236
1, 29, 367, 1379, 0.9348033666610718
1, 30, 188, 1388, 0.5014221668243408
1, 31, 384, 1417, 0.3707391321659088
1, 32, 269, 1432, -0.19108667969703674
2, 0, 303, 94, -1.1931750774383545
2, 1, 317, 62, -1.1162828207015991
2, 2, 327, 63, -1.116507649421692
2, 3, 337, 63, -1.116588830947876
2, 4, 282, 61, -1.157645583152771
2, 5, 266, 62, -1.1576592922210693
2, 6, 250, 63, -1.1581858396530151
2, 7, 346, 75, -0.607427179813385
2, 8, 219, 76, -0.7896381616592407
2, 9, 321, 129, -0.9986213445663452
2, 10, 277, 131, -1.049126148223877
2, 11, 408, 260, -0.16817156970500946
2, 12, 127, 283, -0.6254739761352539
2, 13, 422, 449, 0.07195644080638885
2, 14, 63, 478, -0.5995426774024963
2, 15, 445, 640, -0.29709553718566895
2, 16, 102, 666, -1.004634141921997
2, 17, 466, 688, -0.38562387228012085
2, 18, 104, 725, -1.1331779956817627
2, 19, 460, 687, -0.5002253651618958
