0, 0, 0, 432, 453, -4.5817398586223135e-07
0, 0, 1, 400, 440, -0.020105328410863876
0, 0, 2, 375, 424, -0.035105105489492416
0, 0, 3, 352, 414, -0.04850906878709793
0, 0, 4, 331, 405, -0.06337220221757889
0, 0, 5, 400, 396, -0.04090872034430504
0, 0, 6, 374, 390, -0.0710776150226593
0, 0, 7, 354, 399, -0.09221026301383972
0, 0, 8, 338, 409, -0.10500279814004898
0, 0, 9, 416, 407, -0.04492124915122986
0, 0, 10, 382, 418, -0.07375766336917877
0, 0, 11, 356, 435, -0.08775065094232559
0, 0, 12, 339, 447, -0.09724235534667969
0, 0, 13, 428, 425, -0.050869256258010864
0, 0, 14, 396, 436, -0.0817170962691307
0, 0, 15, 372, 451, -0.08789177238941193
0, 0, 16, 356, 461, -0.0889098271727562
0, 0, 17, 436, 446, -0.05760566517710686
0, 0, 18, 408, 457, -0.08497653156518936
0, 0, 19, 390, 466, -0.08913234621286392
0, 0, 20, 378, 470, -0.08819977939128876
0, 1, 0, 0, 0, 0.0
0, 1, 1, 0, 0, 0.0
0, 1, 2, 0, 0, 0.0
0, 1, 3, 0, 0, 0.0
0, 1, 4, 0, 0, 0.0
0, 1, 5, 0, 0, 0.0
0, 1, 6, 0, 0, 0.0
0, 1, 7, 0, 0, 0.0
0, 1, 8, 0, 0, 0.0
0, 1, 9, 0, 0, 0.0
0, 1, 10, 0, 0, 0.0
0, 1, 11, 0, 0, 0.0
0, 1, 12, 0, 0, 0.0
0, 1, 13, 0, 0, 0.0
0, 1, 14, 0, 0, 0.0
0, 1, 15, 0, 0, 0.0
0, 1, 16, 0, 0, 0.0
0, 1, 17, 0, 0, 0.0
0, 1, 18, 0, 0, 0.0
0, 1, 19, 0, 0, 0.0
0, 1, 20, 0, 0, 0.0
1, 0, 0, 443, 452, -3.291750658718229e-07
1, 0, 1, 410, 435, -0.014882495626807213
1, 0, 2, 384, 417, -0.029780426993966103
1, 0, 3, 362, 405, -0.04385257139801979
1, 0, 4, 339, 398, -0.0597095787525177
1, 0, 5, 412, 392, -0.04487688094377518
1, 0, 6, 386, 387, -0.07629308849573135
1, 0, 7, 366, 385, -0.09840014576911926
1, 0, 8, 348, 385, -0.11283428966999054
1, 0, 9, 427, 402, -0.05237099155783653
1, 0, 10, 387, 418, -0.08486204594373703
1, 0, 11, 361, 435, -0.09862116724252701
1, 0, 12, 343, 447, -0.10780830681324005
1, 0, 13, 438, 421, -0.06072099879384041
1, 0, 14, 399, 435, -0.09192071110010147
1, 0, 15, 375, 449, -0.09628868103027344
1, 0, 16, 358, 459, -0.09669288247823715
1, 0, 17, 444, 443, -0.06953082233667374
1, 0, 18, 412, 454, -0.09592349082231522
1, 0, 19, 391, 462, -0.09998448193073273
1, 0, 20, 377, 466, -0.0997861847281456
1, 1, 0, 0, 0, 0.0
1, 1, 1, 0, 0, 0.0
1, 1, 2, 0, 0, 0.0
1, 1, 3, 0, 0, 0.0
1, 1, 4, 0, 0, 0.0
1, 1, 5, 0, 0, 0.0
1, 1, 6, 0, 0, 0.0
1, 1, 7, 0, 0, 0.0
1, 1, 8, 0, 0, 0.0
1, 1, 9, 0, 0, 0.0
1, 1, 10, 0, 0, 0.0
1, 1, 11, 0, 0, 0.0
1, 1, 12, 0, 0, 0.0
1, 1, 13, 0, 0, 0.0
1, 1, 14, 0, 0, 0.0
1, 1, 15, 0, 0, 0.0
1, 1, 16, 0, 0, 0.0
1, 1, 17, 0, 0, 0.0
1, 1, 18, 0, 0, 0.0
1, 1, 19, 0, 0, 0.0
1, 1, 20, 0, 0, 0.0
2, 0, 0, 517, 419, 1.0202444400420063e-07
2, 0, 1, 487, 406, 0.007407895289361477
2, 0, 2, 451, 398, 0.004961117170751095
2, 0, 3, 422, 393, 0.0006453878595493734
2, 0, 4, 399, 396, -0.005600781179964542
2, 0, 5, 445, 395, -0.013317249715328217
2, 0, 6, 406, 397, -0.026286380365490913
2, 0, 7, 383, 403, -0.03401223197579384
2, 0, 8, 366, 410, -0.038596637547016144
2, 0, 9, 450, 405, -0.02466491051018238
2, 0, 10, 406, 410, -0.03551041707396507
2, 0, 11, 381, 417, -0.04108757525682449
2, 0, 12, 363, 424, -0.04627339541912079
2, 0, 13, 456, 421, -0.03497537598013878
2, 0, 14, 413, 425, -0.04367842897772789
2, 0, 15, 390, 431, -0.0459369458258152
2, 0, 16, 374, 435, -0.048496901988983154
2, 0, 17, 462, 442, -0.044134121388196945
2, 0, 18, 430, 443, -0.05155856907367706
2, 0, 19, 410, 444, -0.052459705621004105
2, 0, 20, 396, 445, -0.05339934304356575
2, 1, 0, 462, 451, -3.879797247918759e-07
2, 1, 1, 438, 427, -0.004820127505809069
2, 1, 2, 415, 408, -0.013500046916306019
2, 1, 3, 397, 400, -0.023525938391685486
2, 1, 4, 382, 401, -0.034940674901008606
2, 1, 5, 430, 385, -0.018840603530406952
2, 1, 6, 402, 391, -0.04060162603855133
2, 1, 7, 384, 400, -0.058578137308359146
2, 1, 8, 372, 409, -0.06962825357913971
2, 1, 9, 438, 397, -0.026984848082065582
2, 1, 10, 402, 406, -0.04234105721116066
2, 1, 11, 381, 415, -0.05106795206665993
2, 1, 12, 368, 426, -0.058519717305898666
2, 1, 13, 444, 416, -0.03626100718975067
2, 1, 14, 410, 423, -0.05063707008957863
2, 1, 15, 393, 430, -0.051181454211473465
2, 1, 16, 383, 437, -0.051539577543735504
2, 1, 17, 449, 437, -0.04617255926132202
2, 1, 18, 420, 440, -0.059381239116191864
2, 1, 19, 404, 443, -0.0590396374464035
2, 1, 20, 395, 446, -0.057465557008981705
3, 0, 0, 0, 0, 0.0
3, 0, 1, 0, 0, 0.0
3, 0, 2, 0, 0, 0.0
3, 0, 3, 0, 0, 0.0
3, 0, 4, 0, 0, 0.0
3, 0, 5, 0, 0, 0.0
3, 0, 6, 0, 0, 0.0
3, 0, 7, 0, 0, 0.0
3, 0, 8, 0, 0, 0.0
3, 0, 9, 0, 0, 0.0
3, 0, 10, 0, 0, 0.0
3, 0, 11, 0, 0, 0.0
3, 0, 12, 0, 0, 0.0
3, 0, 13, 0, 0, 0.0
3, 0, 14, 0, 0, 0.0
3, 0, 15, 0, 0, 0.0
3, 0, 16, 0, 0, 0.0
3, 0, 17, 0, 0, 0.0
3, 0, 18, 0, 0, 0.0
3, 0, 19, 0, 0, 0.0
3, 0, 20, 0, 0, 0.0
3, 1, 0, 0, 0, 0.0
3, 1, 1, 0, 0, 0.0
3, 1, 2, 0, 0, 0.0
3, 1, 3, 0, 0, 0.0
3, 1, 4, 0, 0, 0.0
3, 1, 5, 0, 0, 0.0
3, 1, 6, 0, 0, 0.0
3, 1, 7, 0, 0, 0.0
3, 1, 8, 0, 0, 0.0
3, 1, 9, 0, 0, 0.0
3, 1, 10, 0, 0, 0.0
3, 1, 11, 0, 0, 0.0
3, 1, 12, 0, 0, 0.0
3, 1, 13, 0, 0, 0.0
3, 1, 14, 0, 0, 0.0
3, 1, 15, 0, 0, 0.0
3, 1, 16, 0, 0, 0.0
3, 1, 17, 0, 0, 0.0
3, 1, 18, 0, 0, 0.0
3, 1, 19, 0, 0, 0.0
3, 1, 20, 0, 0, 0.0
4, 0, 0, 486, 396, 5.426433062893921e-07
4, 0, 1, 473, 367, -0.04064606502652168
4, 0, 2, 483, 340, -0.06058930978178978
4, 0, 3, 507, 325, -0.07400932163000107
4, 0, 4, 528, 315, -0.08651620894670486
4, 0, 5, 546, 347, -0.04445812851190567
4, 0, 6, 585, 345, -0.06775840371847153
4, 0, 7, 612, 347, -0.08652028441429138
4, 0, 8, 634, 352, -0.09763651341199875
4, 0, 9, 563, 363, -0.03319954127073288
4, 0, 10, 601, 360, -0.049374956637620926
4, 0, 11, 627, 360, -0.06185469776391983
4, 0, 12, 649, 364, -0.07111944258213043
4, 0, 13, 570, 376, -0.025590641424059868
4, 0, 14, 604, 375, -0.04151635244488716
4, 0, 15, 626, 374, -0.04872700944542885
4, 0, 16, 646, 376, -0.05259838327765465
4, 0, 17, 571, 387, -0.021315613761544228
